;;;;;;; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ;;;
37;Paracetamol;Tablet;0;0;"Obat Yang Digunakan Untuk Meredakan Rasa Sakit Ringan Hingga Sedang (Seperti Sakit Kepala, Nyeri Otot, Atau Sakit Gigi) Dan Untuk Menurunkan Demam";analgetik-antipiretik ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 300 ; 300 ; 300 ; -   ;; -   ; -   
38;Paracetamol Syrup;Botol;0;0;"Obat Yang Digunakan Untuk Meredakan Rasa Sakit Ringan Hingga Sedang (Seperti Sakit Kepala, Nyeri Otot, Atau Sakit Gigi) Dan Untuk Menurunkan Demam";obat penurun panas dan pereda nyeri (analgesic dan antipiretik) ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 12 ; 12 ; 10 ; 2 ;; 2 ; -   
39;Piroxicam;Tablet;0;0;Obat Antiradang Untuk Meredakan Nyeri Sendi Dan Gejala Lain Dari Radang Sendi;obat antiinflamasi nonsteroid (NSAID); -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 100 ; 100 ; 95 ; 5 ; 100 ; 105 ; 95 ; 10 ; 100 ; 110 ; 105 ; 5 ; 100 ; 105 ; 105 ; -   ; 100 ; 100 ; 100 ; -   ;; -   ; -   
40;Ranitidin;Tablet;0;0;Obat Untuk Mengobati Gejala Akibat Produksi Asam Lambung Berlebih;antagonis H2 (H2 blocker); -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 200 ; 200 ; 20 ; 180 ; 200 ; 380 ; 180 ; 200 ; -   ; 200 ; 140 ; 60 ; -   ; 60 ; 60 ; -   ; 300 ; 300 ; 55 ; 245 ; -   ; 245 ; 175 ; 70 ; 100 ; 170 ; 110 ; 60 ; 100 ; 160 ; 55 ; 105 ; 100 ; 205 ; 115 ; 90 ; 200 ; 290 ; 165 ; 125 ; 100 ; 225 ; 90 ; 135 ;; 135 ; -   
41;Salbutamol 2Mg;Tablet;0;0;"Meredakan Gejala Asma Dan Gangguan Pernapasan Lainnya, Seperti Bronkitis Dan Chronic Obstructive Pulmonary Disease";bronkodilator golongan agonis reseptor β2 adrenergik selektif short acting; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 100 ; 100 ; -   ; 100 ; -   ; 100 ; 50 ; 50 ; -   ; 50 ; 100 ; (50); 200 ; 150 ; 125 ; 25 ; -   ; 25 ; 50 ; (25); -   ; (25); 25 ; (50); -   ; (50); -   ; (50); -   ; (50); -   ; (50); -   ; (50); -   ; (50); -   ; (50); -   ; (50); -   ; (50); -   ; (50);Stock WAFA lebih Jan 25 harusnya 50 berubah jd 100; -   ; 50 
42;Salbutamol 4Mg;Tablet;0;0;"Mengobati Asma Bronkial, Bronkitis Kronis, Emfisema";bronkodilator golongan agonis reseptor β2 adrenergik selektif short acting; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 100 ; 100 ; -   ; 100 ; -   ; 100 ; -   ; 100 ; -   ; 100 ; 55 ; 45 ; 200 ; 245 ; 60 ; 185 ; -   ; 185 ; 40 ; 145 ; -   ; 145 ; 40 ; 105 ; -   ; 105 ; 55 ; 50 ; 100 ; 150 ; 70 ; 80 ;; 80 ; -   
43;Salep Mata Genoint;Tube;0;0;"Antibiotik Untuk Mengatasi Infeksi Mata Yang Disebabkan Oleh Bakteri. Obat Mata Ini Digunakan Dalam Mengobati Kondisi Konjungtivitis Bakterial, Blefaritis, Keratitis, Ulkus Kornea, Serta Bintitan";aminoglikosida; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;; -   
44;Scopma Plus;Tablet;0;0;Mengurangi Kram Perut Karena Menstruasi;Antispasmodik; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 100 ; 100 ; 100 ; -   ; 200 ; 200 ; 90 ; 110 ; 100 ; 210 ; 100 ; 110 ; -   ; 110 ; 70 ; 40 ; 300 ; 340 ; 130 ; 210 ; -   ; 210 ; 160 ; 50 ; 200 ; 250 ; 120 ; 130 ; 100 ; 230 ; 140 ; 90 ; 100 ; 190 ; 55 ; 135 ; 100 ; 235 ; 195 ; 40 ; 100 ; 140 ; 130 ; 10 ; 100 ; 110 ; 70 ; 40 ;; 40 ; -   
45;Simvastatin 10;Tablet;0;0;Mengobati Kolesterol Tinggi Dan Mengurangi Risiko Serangan Jantung Dan Stroke;statin; 300 ; 122 ; 178 ; -   ; 178 ; 78 ; 100 ; 100 ; 200 ; 80 ; 120 ; -   ; 120 ; 40 ; 80 ; -   ; 80 ; 70 ; 10 ; 100 ; 110 ; 100 ; 10 ; 300 ; 310 ; 170 ; 140 ; 300 ; 440 ; 80 ; 360 ; -   ; 360 ; 148 ; 212 ; -   ; 212 ; 102 ; 110 ; 200 ; 310 ; 115 ; 195 ; -   ; 195 ; 140 ; 55 ; 300 ; 355 ; 111 ; 244 ; -   ; 244 ; 134 ; 110 ;; 110 ; -   
46;Simvastatin 20;Tablet;0;0;Mengobati Kolesterol Tinggi Dan Mengurangi Risiko Serangan Jantung Dan Stroke;statin; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 100 ; 100 ; 10 ; 90 ; -   ; 90 ; 20 ; 70 ; -   ; 70 ; 10 ; 60 ; -   ; 60 ; 60 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;; -   
47;Softex;Pcs;0;0;"Pembalut (Saat Menstruasi) Atau Pantyliner (Untuk Keputihan Atau Menjaga Kebersihan), Dengan Fungsi Utamanya Menyerap Cairan Dan Menjaga Area Kewanitaan Tetap Kering, Bersih, Dan Nyaman";Pembalut; -   ; -   ; -   ; 30 ; 30 ; 10 ; 20 ; -   ; 20 ; 20 ; -   ; 40 ; 40 ; 31 ; 9 ; 30 ; 39 ; 22 ; 17 ; 24 ; 41 ; 41 ; -   ; 24 ; 24 ; 24 ; -   ; 44 ; 44 ; 27 ; 17 ; 44 ; 61 ; 34 ; 27 ; -   ; 27 ; 27 ; -   ; 66 ; 66 ; 43 ; 23 ; 44 ; 67 ; 39 ; 28 ; 44 ; 72 ; 40 ; 32 ; 44 ; 76 ; 42 ; 34 ;; 34 ; -   
48;Spuit 3 Cc;Pcs;0;0;Menyuntikkan Berbagai Jenis Obat Ke Dalam Tubuh Pasien;Suntikan; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 25 ; 25 ; 4 ; 21 ; -   ; 21 ; 17 ; 4 ; 20 ; 24 ; 13 ; 11 ; 15 ; 26 ; 14 ; 12 ; 10 ; 22 ; 8 ; 14 ; -   ; 14 ; 8 ; 6 ; 20 ; 26 ; 5 ; 21 ; -   ; 21 ; 8 ; 13 ; -   ; 13 ; 10 ; 3 ;; 3 ; -   
49;Stic Glukosa;Pcs;0;0;Mengukur Kadar Glukosa Atau Gula Dalam Darah Secara Cepat Dan Akurat Menggunakan Alat Yang Disebut Glukometer;Stick; -   ; -   ; -   ; 25 ; 25 ; -   ; 25 ; -   ; 25 ; 7 ; 18 ; 25 ; 43 ; 8 ; 35 ; -   ; 35 ; 9 ; 26 ; 25 ; 51 ; 26 ; 25 ; -   ; 25 ; 7 ; 18 ; 25 ; 43 ; 11 ; 32 ; -   ; 32 ; 10 ; 22 ; -   ; 22 ; 6 ; 16 ; -   ; 16 ; 4 ; 12 ; -   ; 12 ; 8 ; 4 ; 25 ; 29 ; 7 ; 22 ; -   ; 22 ; 10 ; 12 ;Stock WAFA lebih Feb 25 Harusnya 25 berubah jd 36; 23 ; 11 
50;Stik Asam Urat;Pcs;0;0;Untuk Mengukur Kadar Asam Urat Dalam Darah;Stick; -   ; -   ; -   ; 25 ; 25 ; -   ; 25 ; -   ; 25 ; -   ; 25 ; -   ; 25 ; 2 ; 23 ; -   ; 23 ; 4 ; 19 ; -   ; 19 ; 12 ; 7 ; 25 ; 32 ; 7 ; 25 ; -   ; 25 ; 8 ; 17 ; -   ; 17 ; 8 ; 9 ; 25 ; 34 ; 8 ; 26 ; -   ; 26 ; 3 ; 23 ; -   ; 23 ; 4 ; 19 ; 25 ; 44 ; 4 ; 40 ; -   ; 40 ; 8 ; 32 ;; 32 ; -   
51;Stik Kolesterol;Pcs;0;0;Untuk Kadar Kolesterol Dalam Darah Secara Cepat Dan Praktis;Stick; -   ; -   ; -   ; 10 ; 10 ; 2 ; 8 ; 10 ; 18 ; 17 ; 1 ; 25 ; 26 ; 13 ; 13 ; -   ; 13 ; 10 ; 3 ; 10 ; 13 ; 13 ; -   ; 10 ; 10 ; 10 ; -   ; 10 ; 10 ; 8 ; 2 ; 10 ; 12 ; 8 ; 4 ; 10 ; 14 ; 10 ; 4 ; 10 ; 14 ; 6 ; 8 ; -   ; 8 ; 6 ; 2 ; 10 ; 12 ; 2 ; 10 ; -   ; 10 ; 5 ; 5 ;; 5 ; -   
52;Ternix Hijau;Botol;0;0;Obat Yang Digunakan Untuk Meringankan Gejala Pilek Dan Flu;alkilamina antihistamin generasi pertama; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;; -   
53;Ternix Plus (Merah);Botol;0;0;"Mengobati Gejala Flu Seperti Demam, Sakit Kepala, Hidung Tersumbat, Dan Bersin-Bersin Yang Disertai Batuk Berdahak";dekongestan; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 25 ; 25 ; 15 ; 10 ; 5 ; 15 ; 10 ; 5 ; 12 ; 17 ; 17 ; -   ; 15 ; 15 ; 15 ; -   ; 15 ; 15 ; 15 ; -   ; -   ; -   ; -   ; -   ; 15 ; 15 ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;; -   
54;Tetes Telinga;Botol;0;0;"Obat Cair Yang Digunakan Untuk Mengatasi Nyeri, Infeksi, Peradangan, Atau Kotoran Telinga Yang Menyumbat";obat antibiotik; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 12 ; 12 ; 2 ; 10 ; -   ; 10 ; 2 ; 8 ; -   ; 8 ; 4 ; 4 ; -   ; 4 ; 2 ; 2 ; -   ; 2 ; 1 ; 1 ; 5 ; 6 ; 1 ; 5 ; -   ; 5 ; 4 ; 1 ; 12 ; 13 ; 1 ; 12 ;; 12 ; -   
55;Triclofem;Ampul;0;0;Obat Kontrasepsi Jangka Panjang Untuk Mencegah Kehamilan Dengan Kandungan Utama Medroxyprogesteron Asetat (Mpa);alat kontrasepsi suntik; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 10 ; 1 ; 9 ; -   ; 9 ; 6 ; 3 ; 10 ; 13 ; 2 ; 11 ; -   ; 11 ; 4 ; 7 ; 10 ; 17 ; 7 ; 10 ; -   ; 10 ; 1 ; 9 ; 10 ; 19 ; 4 ; 15 ; -   ; 15 ; 2 ; 13 ; -   ; 13 ; 2 ; 11 ; -   ; 11 ; 5 ; 6 ; -   ; 6 ; 2 ; 4 ;; 4 ; -   
56;Vit C;Tablet;0;0;"Asam Askorbat Juga Digunakan Untuk Mencegah Dan Mengobati Penyakit Kudis (Penyakit Yang Menyebabkan Kelelahan, Pembengkakan Gusi, Nyeri Sendi, Dan Penyembuhan Luka Yang Buruk Akibat Kekurangan Vitamin C Dalam Tubuh)";Asam askorbat / antioksidan; 200 ; 100 ; 100 ; -   ; 100 ; 100 ; -   ; 200 ; 200 ; 200 ; -   ; 200 ; 200 ; 180 ; 20 ; 150 ; 170 ; 170 ; -   ; 200 ; 200 ; 200 ; -   ; 500 ; 500 ; 250 ; 250 ; -   ; 250 ; 240 ; 10 ; 200 ; 210 ; 210 ; -   ; 200 ; 200 ; 200 ; -   ; 300 ; 300 ; 250 ; 50 ; 200 ; 250 ; 250 ; -   ; 300 ; 300 ; 275 ; 25 ; 300 ; 325 ; 320 ; 5 ;; 5 ; -   
57;Vesprum;Tablet;0;0;Mengatasi mual dan muntah;antiemetik; 100 ; -   ; 100 ; -   ; 100 ; 30 ; 70 ; -   ; 70 ; 40 ; 30 ; -   ; 30 ; 15 ; 15 ; -   ; 15 ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;; -   
58;Brochifar;Tablet;0;0;"meredakan gejala flu seperti demam, sakit kepala, hidung tersumbat, bersin-bersin yang disertai batuk kering";"analgetik-antipiretik, dekongestan"; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 100 ; 100 ; 70 ; 30 ; 100 ; 130 ; 130 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;; -   
59;Corizine;Tablet;0;0;mengobati gejala alergi;antihistamin; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 100 ; 100 ; 100 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;; -   
60;Dobrizol;Tablet;0;0;mengatasi asam lambung;penghambat pompa proton; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 60 ; 60 ; 60 ; -   ; 200 ; 200 ; 40 ; 160 ; -   ; 160 ; 80 ; 80 ; -   ; 80 ; 80 ; -   ; 200 ; 200 ; 175 ; 25 ; 300 ; 325 ; 205 ; 120 ; -   ; 120 ; 120 ; -   ; 300 ; 300 ; 225 ; 75 ; 100 ; 175 ; 80 ; 95 ; 200 ; 295 ; 205 ; 90 ; 200 ; 290 ; 215 ; 75 ; 100 ; 175 ; 175 ; -   ;; -   ; -   
61;Flutamol;Tablet;0;0;"meredakan gejala flu seperti demam, sakit kepala, hidung tersumbat, bersin-bersin yang disertai batuk kering";"analgetik-antipiretik, dekongestan"; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 100 ; 100 ; 100 ; -   ; 100 ; 100 ; 100 ; -   ; 200 ; 200 ; 200 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;; -   
62;Bnachosal;Tablet;0;0;mengobati penyakit asma karena alergi tertentu;agonis adrenoreseptor; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 100 ; 100 ; 45 ; 55 ; -   ; 55 ; 30 ; 25 ; -   ; 25 ; 10 ; 15 ; -   ; 15 ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;; -   
63;Zink Tab;Tablet;0;0;terapi pelengkap mengatasi diare akut pada anak;suplemen; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 100 ; 100 ; 70 ; 30 ; 100 ; 130 ; 15 ; 115 ; -   ; 115 ; 50 ; 65 ; -   ; 65 ; 5 ; 60 ; -   ; 60 ; 40 ; 20 ; -   ; 20 ; 10 ; 10 ; -   ; 10 ; 5 ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; 100 ; 105 ; 30 ; 75 ; -   ; 75 ; -   ; 75 ;Stock WAFA Kurang diawal Agt 25 harusnya ada 5; 70 ; (5)
64;Fasidol;Tablet;0;0;"mengatasi demam dan sebagai perda nyeri seperti sakit kepala, sakit gigi dan nyeri ringan lainnya";analgesik antipiretik; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 300 ; 300 ; 300 ; -   ; 300 ; 300 ; 300 ; -   ; 400 ; 400 ; 310 ; 90 ; 500 ; 590 ; 580 ; 10 ; 1.000 ; 1.010 ; 820 ; 190 ; 300 ; 490 ; 470 ; 20 ; 500 ; 520 ; 450 ; 70 ; 300 ; 370 ; 370 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 400 ; 400 ; 400 ; -   ; -   ; -   ; -   ; -   ;;; -   
65;Mirasic;Tablet;0;0;"meredakan nyeri ringan hingga sedang, seperti nyeri kepala, nyeri otot, nyeri sendi, sakit gigi, serta untuk menurunkan demam yang menyertai berbagai kondisi";analgesik antipiretik; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 100 ; 100 ; 100 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 600 ; 600 ; 567 ; 33 ; 400 ; 433 ; 433 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;; -   
66;Lodecon;Tablet;0;0;"mengatasi gejala flu seperti demam, sakit kepala, hidung tersumbat, bersin-bersin disertai batuk tidak berdahak";alkilamina antihistamin generasi pertama; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 100 ; 100 ; 100 ; -   ; -   ; -   ; -   ; -   ; 200 ; 200 ; 200 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;; -   
67;Ampicilin;Tablet;0;0;"mengatasi infeksi bakteri pada berbagai bagian tubuh, seperti saluran pernapasan, saluran pencernaan, saluran kemih, kelamin, telinga, dan jantung";penisilin; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 200 ; 200 ; 30 ; 170 ; -   ; 170 ; 170 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;; -   
68;Anaton;Tablet;0;0;"mengobati gejala flu, seperti demam, sakit kepala, hidung tersumbat, dan juga bersin-bersin disertai batuk";alkilamina antihistamin generasi pertama; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 100 ; 100 ; 100 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;; -   
69;Decolgen;Tablet;0;0;"meredakan batuk yang disertai gejala flu seperti demam, sakit kepala, hidung tersumbat, dan bersin";"Analgesik dan antipiretik, dekongestan, antihistamin, antitusif, serta ekspektoran"; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 60 ; 60 ; 44 ; 16 ; 100 ; 116 ; 116 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;; -   
70;Loperamide;Tablet;0;0;meredakan diare;antidiare; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 100 ; 100 ; 10 ; 90 ; -   ; 90 ; 60 ; 30 ; 100 ; 130 ; 40 ; 90 ; -   ; 90 ; 90 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;; -   
71;Hufamag;Tablet;0;0;"mengatasi gangguan pada saluran pencernaan seperti gastritis, perut kembung, maag, dispepsia, hiatus hernia, tukak lambung dan tukak usus duabelas jari";antasida; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 200 ; 200 ; 40 ; 160 ; -   ; 160 ; 160 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;; -   
72;Predneson;Tablet;0;0;"membantu meredakan peradangan pada beberapa kondisi, seperti alergi, penyakit autoimun, radang sendi, atau dermatitis kontak";kortikosteroid; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 100 ; 100 ; 100 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;; -   
73;Coparcetin Syrup;Botol;0;0;"mengobati gejal influenza seperti demam, sakit kepala, hidung tersumbat, dan bersin-bersin";"analgetik, antipiretik, dekongestan, antihistamin"; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 ; 6 ; 6 ; -   ; 25 ; 25 ; 15 ; 10 ; 15 ; 25 ; 24 ; 1 ; 38 ; 39 ; 3 ; 36 ; -   ; 36 ; 5 ; 31 ; -   ; 31 ; 1 ; 30 ; -   ; 30 ; 12 ; 18 ; -   ; 18 ; 3 ; 15 ; -   ; 15 ; 2 ; 13 ; -   ; 13 ; 10 ; 3 ;; 3 ; -   
74;Pehacain;Ampul;0;0;untuk memberikan analgesia lokal dalam berbagai prosedur medis;anestesi; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ;Stock WAFA Kurang dr Feb - Sept 25; -   ; (5)
75;Gentamicin;Tube;0;0;mengobati infeksi pada kulit yang disebabkan oleh bakteri;Antibiotik golongan aminoglikosida; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 22 ; 22 ; 9 ; 13 ; -   ; 13 ; 6 ; 7 ; 10 ; 17 ; 7 ; 10 ; -   ; 10 ; 9 ; 1 ; -   ; 1 ; 6 ; (5); 24 ; 19 ; 9 ; 10 ; -   ; 10 ; 12 ; (2); 12 ; 10 ; 6 ; 4 ;Tertukar dengan Genoint; 6 ; 2 
76;Ventasal Inject;Ampul;0;0;"meredakan gejala asma dan gangguan pernapasan lainnya, seperti bronkitis dan chronic obstructive pulmonary disease";bronkodilator jenis short acting beta agonist; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 10 ; 1 ; 9 ; -   ; 9 ; 3 ; 6 ; -   ; 6 ; 2 ; 4 ; -   ; 4 ; -   ; 4 ; -   ; 4 ; -   ; 4 ; -   ; 4 ; 1 ; 3 ; -   ; 3 ; 2 ; 1 ;; 1 ; -   
